entrez_id,symbol
4864,NPC1
4869,NPM1
387129,NPSR1
4852,NPY
4886,NPY1R
4887,NPY2R
4889,NPY5R
1728,NQO1
4835,NQO2
8431,NR0B2
7376,NR1H2
10062,NR1H3
9971,NR1H4
8856,NR1I2
9970,NR1I3
2908,NR3C1
4306,NR3C2
4929,NR4A2
4907,NT5E
4915,NTRK2
9891,NUAK1
10726,NUDC
116150,NUS1
4968,OGG1
4985,OPRD1
4986,OPRK1
4988,OPRM1
81285,OR51E2
26339,OR5K1
5007,OSBP
23762,OSBP2
9943,OXSR1
5034,P4HB
54681,P4HTM
55690,PACS1
10298,PAK4
57144,PAK5
56924,PAK6
5066,PAM
142,PARP1
5078,PAX4
5080,PAX6
55872,PBK
56144,PCDHA4
5105,PCK1
5111,PCNA
5122,PCSK1
5126,PCSK2
5139,PDE3A
5141,PDE4A
5144,PDE4D
8654,PDE5A
5159,PDGFRB
5163,PDK1
5166,PDK4
5170,PDPK1
3651,PDX1
5184,PEPD
8800,PEX11A
5209,PFKFB3
5226,PGD
5241,PGR
5290,PIK3CA
5294,PIK3CG
5292,PIM1
11040,PIM2
415116,PIM3
5300,PIN1
5313,PKLR
5315,PKM
5319,PLA2G1B
5328,PLAU
5329,PLAUR
59338,PLEKHA1
5346,PLIN1
5347,PLK1
10769,PLK2
1263,PLK3
10733,PLK4
5367,PMCH
5376,PMP22
5406,PNLIP
57104,PNPLA2
80339,PNPLA3
5422,POLA1
5423,POLB
5429,POLH
11201,POLI
51426,POLK
5443,POMC
5444,PON1
5447,POR
5465,PPARA
5467,PPARD
5468,PPARG
10891,PPARGC1A
133522,PPARGC1B
151742,PPM1L
5506,PPP1R3A
5530,PPP3CA
5550,PREP
5562,PRKAA1
5563,PRKAA2
5564,PRKAB1
5565,PRKAB2
5566,PRKACA
5567,PRKACB
5568,PRKACG
5571,PRKAG1
51422,PRKAG2
53632,PRKAG3
5573,PRKAR1A
5577,PRKAR2B
5578,PRKCA
5579,PRKCB
5580,PRKCD
5581,PRKCE
5582,PRKCG
5583,PRKCH
5584,PRKCI
5588,PRKCQ
5590,PRKCZ
5587,PRKD1
23683,PRKD3
54496,PRMT7
5629,PROX1
5644,PRSS1
5645,PRSS2
5646,PRSS3
5682,PSMA1
5683,PSMA2
5684,PSMA3
5685,PSMA4
5686,PSMA5
5687,PSMA6
5688,PSMA7
143471,PSMA8
5689,PSMB1
5699,PSMB10
122706,PSMB11
5690,PSMB2
5691,PSMB3
5692,PSMB4
5693,PSMB5
5694,PSMB6
5695,PSMB7
5696,PSMB8
5698,PSMB9
9861,PSMD6
5724,PTAFR
9536,PTGES
5742,PTGS1
5743,PTGS2
5745,PTH1R
5747,PTK2
5770,PTPN1
5781,PTPN11
5771,PTPN2
5777,PTPN6
5778,PTPN7
5786,PTPRA
5788,PTPRC
5791,PTPRE
5792,PTPRF
5802,PTPRS
5697,PYY
25797,QPCT
23011,RAB21
9367,RAB9A
5879,RAC1
29127,RACGAP1
5893,RAD52
10743,RAI1
5901,RAN
10411,RAPGEF3
11069,RAPGEF4
5914,RARA
5915,RARB
5916,RARG
5919,RARRES2
5950,RBP4
3516,RBPJ
11317,RBPJL
5965,RECQL
5970,RELA
5979,RET
56729,RETN
6002,RGS12
5999,RGS4
387,RHOA
55781,RIOK2
6035,RNASE1
6049,RNF6
6093,ROCK1
9475,ROCK2
6095,RORA
6096,RORB
6097,RORC
6195,RPS6KA1
6197,RPS6KA3
9252,RPS6KA5
6198,RPS6KB1
861,RUNX1
6256,RXRA
6277,S100A6
10055,SAE1
25939,SAMHD1
6303,SAT1
6319,SCD
6323,SCN1A
6326,SCN2A
6328,SCN3A
6344,SCTR
9672,SDC3
10806,SDCCAG8
6401,SELE
6402,SELL
6403,SELP
5054,SERPINE1
80854,SETD7
6424,SFRP4
6446,SGK1
25970,SH2B1
6462,SHBG
6476,SI
10280,SIGMAR1
6492,SIM1
23411,SIRT1
23410,SIRT3
23408,SIRT5
51548,SIRT6
6495,SIX1
6554,SLC10A1
117247,SLC16A10
9194,SLC16A7
6571,SLC18A2
6506,SLC1A2
6580,SLC22A1
55867,SLC22A11
6582,SLC22A2
6581,SLC22A3
6583,SLC22A4
6584,SLC22A5
9356,SLC22A6
9376,SLC22A8
2030,SLC29A1
6513,SLC2A1
6514,SLC2A2
6517,SLC2A4
169026,SLC30A8
206358,SLC36A1
55244,SLC47A1
6523,SLC5A1
6524,SLC5A2
6529,SLC6A1
6538,SLC6A11
6539,SLC6A12
6540,SLC6A13
11254,SLC6A14
6530,SLC6A2
6531,SLC6A3
6532,SLC6A4
10599,SLCO1B1
28234,SLCO1B3
11309,SLCO2B1
9748,SLK
4088,SMAD3
4090,SMAD5
6595,SMARCA2
132332,SMIM43
6606,SMN1
6609,SMPD1
6616,SNAP25
6622,SNCA
10073,SNUPN
6646,SOAT1
6647,SOD1
6648,SOD2
6652,SORD
8877,SPHK1
6714,SRC
6715,SRD5A1
6720,SREBF1
6480,ST6GAL1
6774,STAT3
6793,STK10
8576,STK16
9263,STK17A
10494,STK25
51765,STK26
11329,STK38
6789,STK4
412,STS
8803,SUCLA2
8801,SUCLG2
6783,SULT1E1
6820,SULT2B1
6850,SYK
134864,TAAR1
6869,TACR1
6865,TACR2
23435,TARDBP
259285,TAS2R39
23216,TBC1D1
9882,TBC1D4
6915,TBXA2R
6916,TBXAS1
6934,TCF7L2
55775,TDP1
7004,TEAD4
7010,TEK
7015,TERT
7018,TF
7037,TFRC
7040,TGFB1
63892,THADA
7066,THPO
7067,THRA
7068,THRB
7076,TIMP1
7097,TLR2
7099,TLR4
129787,TMEM18
91147,TMEM67
7124,TNF
7132,TNFRSF1A
7133,TNFRSF1B
23043,TNIK
8658,TNKS
80351,TNKS2
7150,TOP1
7153,TOP2A
7155,TOP2B
7157,TP53
7172,TPMT
8989,TRPA1
7224,TRPC5
79054,TRPM8
7442,TRPV1
7253,TSHR
7257,TSNAX
123016,TTC8
7276,TTR
7275,TUB
7296,TXNRD1
10587,TXNRD2
114112,TXNRD3
7299,TYR
10054,UBA2
7325,UBE2E2
7350,UCP1
7351,UCP2
7352,UCP3
54658,UGT1A1
54575,UGT1A10
54659,UGT1A3
54657,UGT1A4
54578,UGT1A6
54577,UGT1A7
54576,UGT1A8
54600,UGT1A9
10941,UGT2A1
7366,UGT2B15
7367,UGT2B17
7385,UQCRC2
7398,USP1
9099,USP2
84196,USP48
7874,USP7
7421,VDR
7425,VGF
7428,VHL
7433,VIPR1
7436,VLDLR
157680,VPS13B
9559,VPS26A
7443,VRK1
7444,VRK2
51231,VRK3
7466,WFS1
89780,WNT3A
7486,WRN
7498,XDH
7514,XPO1
7525,YES1
51043,ZBTB7B
84872,ZC3H10
51530,ZC3HC1
60685,ZFAND3
463,ZFHX3
23217,ZFR2
169841,ZNF169
